Cow_ID,Day,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,class1
COW-128,261,39.9,7.37,8.17,744761,10.0,1,1
COW-117,177,39.36,7.17,8.04,659011,8.4,0,1
COW-140,249,38.48,6.69,5.12,112758,24.9,0,0
COW-133,244,39.32,7.07,6.81,1195228,13.0,0,1
COW-106,95,38.6,6.66,4.34,114604,22.2,0,0
COW-135,245,39.15,7.28,7.23,1037633,12.3,0,1
COW-128,244,38.06,6.49,4.9,60960,22.6,0,0
COW-105,87,40.38,7.38,8.52,489431,15.1,1,1
COW-106,224,40.1,7.05,6.69,939425,8.5,0,1
COW-119,120,39.9,7.21,8.76,1106680,12.8,0,1
COW-102,183,38.53,6.5,4.47,74034,15.9,0,0
COW-109,294,38.8,6.56,4.0,92057,24.8,0,0
COW-135,153,40.37,7.18,7.68,1040065,11.1,1,1
COW-142,8,38.16,6.63,4.44,80332,22.4,0,0
COW-103,51,38.34,6.41,4.89,125212,17.9,0,0
COW-117,166,38.27,6.76,5.42,51313,19.9,0,0
COW-109,132,38.1,6.69,4.87,155702,23.1,0,0
COW-118,224,38.33,6.42,4.92,86700,23.5,0,0
COW-119,170,38.9,7.53,7.54,1293323,12.4,1,1
COW-132,69,39.72,6.88,8.7,1238292,9.5,0,1
COW-129,218,39.77,7.52,9.27,745711,14.9,0,1
COW-124,36,40.56,7.58,7.2,868666,8.5,1,1
COW-112,236,39.56,7.54,8.12,1085129,13.3,0,1
COW-115,92,39.77,6.9,8.16,368259,12.5,0,1
COW-146,198,38.48,6.61,4.45,95372,20.2,0,0
COW-127,207,38.24,6.58,5.21,78396,21.6,0,0
COW-140,145,38.36,6.61,5.08,164000,21.4,0,0
COW-129,73,38.9,7.25,8.0,1388537,13.2,1,1
COW-141,12,40.23,7.15,6.41,231597,16.5,1,1
COW-125,268,39.5,7.11,6.78,725455,8.9,0,1
COW-149,172,38.14,6.42,4.86,192804,22.4,0,0
COW-148,277,38.36,6.5,4.18,153200,21.8,0,0
COW-149,199,39.94,7.15,7.81,782840,12.9,0,1
COW-146,285,38.29,6.64,5.5,147507,20.3,0,0
COW-107,98,38.61,6.3,5.13,147749,17.8,0,0
COW-121,268,38.49,6.74,5.48,163852,20.6,0,0
COW-139,170,40.06,7.39,8.91,446864,10.2,1,1
COW-109,55,38.09,6.51,5.2,142465,25.7,0,0
COW-131,285,39.53,7.22,8.02,843875,8.5,1,1
COW-108,39,39.17,7.46,6.4,644417,13.5,1,1
COW-101,25,38.45,6.53,5.06,84858,24.8,0,0
COW-136,295,38.14,6.65,4.86,98664,21.7,0,0
COW-128,247,38.17,6.68,5.44,123503,22.1,0,0
COW-148,127,38.32,6.59,5.09,90066,22.1,0,0
COW-135,108,39.88,7.18,7.59,1398576,10.2,0,1
COW-128,246,39.81,7.27,7.38,318203,16.5,1,1
COW-134,288,39.58,7.06,8.35,458118,10.3,0,1
COW-141,188,39.82,7.33,7.33,284860,14.2,1,1
COW-113,4,39.58,7.3,7.72,322621,9.7,1,1
COW-133,201,39.98,7.32,6.4,878073,11.2,1,1
COW-111,198,38.15,6.65,5.01,51656,26.0,0,0
COW-135,207,38.5,6.39,4.76,83158,21.9,0,0
COW-122,215,40.3,7.01,6.65,1067257,13.3,1,1
COW-124,261,38.19,6.57,5.36,181383,25.9,0,0
COW-138,182,38.75,6.73,4.87,107654,23.6,0,0
COW-146,49,38.52,6.58,4.74,156798,26.6,0,0
COW-132,261,40.39,7.25,8.3,746074,12.5,0,1
COW-122,257,38.26,6.65,5.71,152160,19.7,0,0
COW-144,225,38.48,6.72,5.26,83410,17.5,0,0
COW-122,70,38.52,6.65,4.44,98077,19.8,0,0
COW-103,146,39.96,7.27,8.35,433176,10.4,0,1
COW-101,59,40.23,7.25,6.4,501727,13.3,1,1
COW-127,243,39.59,7.32,8.17,230723,15.3,1,1
COW-125,69,38.08,6.5,4.78,59911,26.6,0,0
COW-104,1,38.22,6.68,5.66,153592,14.0,0,0
COW-128,78,39.35,7.07,8.47,585436,12.7,0,1
COW-126,285,38.74,6.69,4.81,51137,25.6,0,0
COW-141,79,39.46,6.88,6.65,1135535,15.4,1,1
COW-128,152,38.8,6.57,5.12,148024,29.9,0,0
COW-145,12,38.09,6.79,5.23,192271,22.2,0,0
COW-129,25,39.81,7.65,8.96,1140457,9.2,1,1
COW-108,173,38.39,6.62,4.6,125764,21.2,0,0
COW-105,271,39.96,7.39,7.26,760869,12.5,0,1
COW-116,75,38.78,6.5,5.91,163292,25.6,0,0
COW-142,229,38.13,6.41,5.4,70416,23.0,0,0
COW-124,20,38.22,6.43,5.36,50214,18.2,0,0
COW-124,150,38.63,6.49,5.66,65356,18.6,0,0
COW-122,17,40.16,7.38,8.58,684631,8.6,1,1
COW-125,152,39.17,7.05,7.03,697863,14.0,1,1
COW-129,25,40.65,6.99,7.12,771910,11.2,1,1
COW-125,7,40.15,6.88,6.88,437173,14.8,0,1
COW-114,126,38.51,6.52,5.78,101994,21.9,0,0
COW-144,155,38.68,6.74,4.93,173799,20.8,0,0
COW-131,51,38.58,6.6,4.75,194249,30.9,0,0
COW-131,267,39.79,7.39,7.94,1375258,9.4,0,1
COW-149,7,40.09,7.44,7.63,1314740,10.7,1,1
COW-134,134,40.02,7.14,8.58,345332,7.6,1,1
COW-116,157,38.33,6.69,4.73,123195,20.9,0,0
COW-106,161,38.39,6.62,5.52,89309,14.3,0,0
COW-145,214,38.31,6.52,4.87,119151,18.0,0,0
COW-147,61,39.52,7.28,8.31,421146,6.1,1,1
COW-120,237,39.17,7.28,8.01,1344902,13.7,1,1
COW-148,86,38.64,6.84,4.59,107500,20.5,0,0
COW-102,114,38.26,6.73,5.16,112988,26.2,0,0
