Cow_ID,Milk_pH,Milk_Temperature,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Day,class1,data_source
COW-128,7.37,39.9,8.17,744761,10.0,261,1,Kaggle Cow Mastitis (From milk)
COW-117,7.17,39.36,8.04,659011,8.4,177,1,Kaggle Cow Mastitis (From milk)
COW-140,6.69,38.48,5.12,112758,24.9,249,0,Kaggle Cow Mastitis (From milk)
COW-133,7.07,39.32,6.81,1195228,13.0,244,1,Kaggle Cow Mastitis (From milk)
COW-106,6.66,38.6,4.34,114604,22.2,95,0,Kaggle Cow Mastitis (From milk)
COW-135,7.28,39.15,7.23,1037633,12.3,245,1,Kaggle Cow Mastitis (From milk)
COW-128,6.49,38.06,4.9,60960,22.6,244,0,Kaggle Cow Mastitis (From milk)
COW-105,7.38,40.38,8.52,489431,15.1,87,1,Kaggle Cow Mastitis (From milk)
COW-106,7.05,40.1,6.69,939425,8.5,224,1,Kaggle Cow Mastitis (From milk)
COW-119,7.21,39.9,8.76,1106680,12.8,120,1,Kaggle Cow Mastitis (From milk)
COW-102,6.5,38.53,4.47,74034,15.9,183,0,Kaggle Cow Mastitis (From milk)
COW-109,6.56,38.8,4.0,92057,24.8,294,0,Kaggle Cow Mastitis (From milk)
COW-135,7.18,40.37,7.68,1040065,11.1,153,1,Kaggle Cow Mastitis (From milk)
COW-142,6.63,38.16,4.44,80332,22.4,8,0,Kaggle Cow Mastitis (From milk)
COW-103,6.41,38.34,4.89,125212,17.9,51,0,Kaggle Cow Mastitis (From milk)
COW-117,6.76,38.27,5.42,51313,19.9,166,0,Kaggle Cow Mastitis (From milk)
COW-109,6.69,38.1,4.87,155702,23.1,132,0,Kaggle Cow Mastitis (From milk)
COW-118,6.42,38.33,4.92,86700,23.5,224,0,Kaggle Cow Mastitis (From milk)
COW-119,7.53,38.9,7.54,1293323,12.4,170,1,Kaggle Cow Mastitis (From milk)
COW-132,6.88,39.72,8.7,1238292,9.5,69,1,Kaggle Cow Mastitis (From milk)
COW-129,7.52,39.77,9.27,745711,14.9,218,1,Kaggle Cow Mastitis (From milk)
COW-124,7.58,40.56,7.2,868666,8.5,36,1,Kaggle Cow Mastitis (From milk)
COW-112,7.54,39.56,8.12,1085129,13.3,236,1,Kaggle Cow Mastitis (From milk)
COW-115,6.9,39.77,8.16,368259,12.5,92,1,Kaggle Cow Mastitis (From milk)
COW-146,6.61,38.48,4.45,95372,20.2,198,0,Kaggle Cow Mastitis (From milk)
COW-127,6.58,38.24,5.21,78396,21.6,207,0,Kaggle Cow Mastitis (From milk)
COW-140,6.61,38.36,5.08,164000,21.4,145,0,Kaggle Cow Mastitis (From milk)
COW-129,7.25,38.9,8.0,1388537,13.2,73,1,Kaggle Cow Mastitis (From milk)
COW-141,7.15,40.23,6.41,231597,16.5,12,1,Kaggle Cow Mastitis (From milk)
COW-125,7.11,39.5,6.78,725455,8.9,268,1,Kaggle Cow Mastitis (From milk)
COW-149,6.42,38.14,4.86,192804,22.4,172,0,Kaggle Cow Mastitis (From milk)
COW-148,6.5,38.36,4.18,153200,21.8,277,0,Kaggle Cow Mastitis (From milk)
COW-149,7.15,39.94,7.81,782840,12.9,199,1,Kaggle Cow Mastitis (From milk)
COW-146,6.64,38.29,5.5,147507,20.3,285,0,Kaggle Cow Mastitis (From milk)
COW-107,6.3,38.61,5.13,147749,17.8,98,0,Kaggle Cow Mastitis (From milk)
